STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
"34","017","006800","34017006800","68",Census Tract 68,G5020,S,"348015","0","+40.7107530","-074.0793285"
"34","017","006600","34017006600","66",Census Tract 66,G5020,S,"346099","0","+40.7248713","-074.0583180"
"34","017","007400","34017007400","74",Census Tract 74,G5020,S,"251648","580863","+40.7130269","-074.0338313"
"34","017","007800","34017007800","78",Census Tract 78,G5020,S,"561162","0","+40.7318932","-074.0440617"
"34","017","980100","34017980100","9801",Census Tract 9801,G5020,S,"2987306","3884735","+40.6976775","-074.0421525"
"34","017","006400","34017006400","64",Census Tract 64,G5020,S,"218104","0","+40.7181459","-074.0454757"
"34","017","006500","34017006500","65",Census Tract 65,G5020,S,"373121","0","+40.7205362","-074.0525425"
"34","017","006700","34017006700","67",Census Tract 67,G5020,S,"737484","0","+40.7177859","-074.0611184"
"34","017","007500","34017007500","75",Census Tract 75,G5020,S,"302077","0","+40.7157935","-074.0393021"
"34","017","006900","34017006900","69",Census Tract 69,G5020,S,"3563075","280192","+40.7527094","-074.0682964"
"34","017","007100","34017007100","71",Census Tract 71,G5020,S,"340043","0","+40.7288142","-074.0577026"
"34","017","007200","34017007200","72",Census Tract 72,G5020,S,"298390","0","+40.7289178","-074.0480246"
"34","017","007300","34017007300","73",Census Tract 73,G5020,S,"599604","174540","+40.7131981","-074.0468222"
"34","017","002300","34017002300","23",Census Tract 23,G5020,S,"144800","0","+40.7235905","-074.0476910"
"34","017","001000","34017001000","10",Census Tract 10,G5020,S,"124238","0","+40.7446644","-074.0590106"
"34","017","006200","34017006200","62",Census Tract 62,G5020,S,"269137","0","+40.6960329","-074.0948127"
"34","017","005500","34017005500","55",Census Tract 55,G5020,S,"216661","0","+40.7043624","-074.0834034"
